475148,475148,1
416903,416903,1
416146,416146,1
300934,300934,1
251125,251125,2
228922,228922,1
283380,283380,1
221260,221260,1
278786,278786,1
317928,317928,2
156786,156786,1
291893,291893,2
349963,349963,1
241941,241941,1
268704,268704,1
267899,267899,1
372386,372386,1
402299,402299,2
207382,207382,2
373188,373188,1
430650,430650,1
210556,210556,1
391536,391536,1
277198,277198,1
196728,196728,1
212873,212873,1
265820,265820,2
238849,238849,1
278881,278881,2
219679,219679,1
334009,334009,3
367770,367770,1
387804,387804,1
181370,181370,1
245125,245125,1
428378,428378,1
469073,469073,1
305053,305053,1
258777,258777,1
255829,255829,1
306454,306454,1
242722,242722,2
165285,165285,1
297146,297146,2
380273,380273,1
244405,244405,1
285595,285595,1
240342,240342,1
326336,326336,1
437532,437532,3
262732,262732,1
307191,307191,2
371619,371619,1
255715,255715,1
215066,215066,1
306450,306450,1
297170,297170,1
310929,310929,1
287166,287166,1
328857,328857,1
438312,438312,1
334077,334077,1
205153,205153,4
192164,192164,1
178163,178163,1
280235,280235,1
263556,263556,1
313536,313536,1
189088,189088,1
156089,156089,2
277248,277248,1
202191,202191,1
328729,328729,1
380024,380024,1
193660,193660,1
279680,279680,2
292712,292712,1
228126,228126,1
256457,256457,1
258954,258954,2
387746,387746,1
116093,116093,1
318836,318836,1
264353,264353,1
233596,233596,1
237380,237380,1
434595,434595,1
225049,225049,1
372427,372427,2
280351,280351,1
307003,307003,1
298061,298061,1
258806,258806,3
366244,366244,1
268719,268719,4
281009,281009,1
355497,355497,1
200576,200576,2
274957,274957,2
207425,207425,1
328726,328726,2
235870,235870,1
230476,230476,1
222695,222695,1
298752,298752,1
339446,339446,1
327032,327032,2
302439,302439,1
329540,329540,1
409247,409247,1
357109,357109,1
15493,15493,1
186618,186618,1
173770,173770,1
289544,289544,1
295643,295643,1
310258,310258,1
219018,219018,1
366986,366986,2
211269,211269,1
284981,284981,1
321111,321111,1
396894,396894,1
280332,280332,5
442248,442248,2
277311,277311,1
255688,255688,3
396929,396929,1
288719,288719,1
218186,218186,2
211985,211985,1
231897,231897,2
164490,164490,1
431501,431501,1
252051,252051,1
337082,337082,1
314148,314148,1
260505,260505,1
380820,380820,1
133728,133728,1
265724,265724,2
240473,240473,1
240465,240465,1
182015,182015,1
285617,285617,1
187417,187417,1
229649,229649,1
307058,307058,1
176750,176750,1
288042,288042,1
198964,198964,2
439893,439893,1
419126,419126,1
222726,222726,1
311109,311109,1
303197,303197,1
456004,456004,1
290197,290197,1
245075,245075,1
162275,162275,1
257202,257202,1
419917,419917,1
116942,116942,1
315881,315881,1
337836,337836,1
315585,315585,1
248871,248871,1
344788,344788,1
199764,199764,3
337914,337914,1
210534,210534,3
199768,199768,1
222002,222002,2
190575,190575,1
373959,373959,1
187484,187484,1
298930,298930,1
271127,271127,1
429994,429994,1
104698,104698,1
97011,97011,1
250332,250332,1
252083,252083,1
295013,295013,1
310121,310121,1
367072,367072,2
229718,229718,1
280279,280279,1
251126,251126,6
405408,405408,2
245943,245943,2
332543,332543,1
291850,291850,1
296264,296264,1
156851,156851,1
134459,134459,1
297326,297326,3
229689,229689,2
271153,271153,1
214313,214313,2
506669,506669,2
278625,278625,1
169007,169007,1
283526,283526,1
395344,395344,1
446003,446003,1
309448,309448,1
415287,415287,1
404684,404684,1
226808,226808,1
230457,230457,1
297111,297111,1
305656,305656,2
281124,281124,2
276612,276612,2
266454,266454,1
164550,164550,1
215826,215826,1
210559,210559,1
192894,192894,1
194428,194428,1
280283,280283,1
248771,248771,2
193621,193621,1
326310,326310,1
239662,239662,2
280293,280293,5
225862,225862,1
141395,141395,1
462184,462184,1
110067,110067,1
141384,141384,1
248846,248846,1
282078,282078,1
359375,359375,1
177567,177567,2
280189,280189,1
387584,387584,1
225855,225855,1
419946,419946,1
106232,106232,1
183655,183655,1
280871,280871,1
310293,310293,1
248106,248106,1
265711,265711,1
267984,267984,1
280350,280350,1
251220,251220,1
337882,337882,1
266499,266499,2
264877,264877,1
505125,505125,1
350679,350679,1
131427,131427,2
397696,397696,2
183702,183702,3
247277,247277,2
311652,311652,1
280297,280297,1
239626,239626,2
241908,241908,2
294211,294211,1
222696,222696,1
420690,420690,2
91656,91656,1
257321,257321,1
300895,300895,1
192860,192860,1
282518,282518,1
357116,357116,1
243590,243590,1
357035,357035,1
150720,150720,1
438370,438370,1
311879,311879,1
303994,303994,2
393064,393064,1
218960,218960,1
280241,280241,1
187509,187509,1
252047,252047,2
335657,335657,1
349573,349573,2
334118,334118,1
268838,268838,1
293306,293306,1
218192,218192,1
401628,401628,2
240371,240371,1
304719,304719,2
276504,276504,1
369436,369436,1
255034,255034,1
212017,212017,2
290523,290523,1
289750,289750,1
113025,113025,2
294109,294109,2
268053,268053,1
380864,380864,1
176780,176780,3
116134,116134,1
218226,218226,2
280990,280990,1
195161,195161,1
267305,267305,2
419910,419910,1
280280,280280,2
232104,232104,1
307273,307273,1
337086,337086,1
317376,317376,1
357797,357797,2
231336,231336,1
218213,218213,1
320996,320996,1
265106,265106,1
294221,294221,1
326939,326939,1
281066,281066,2
199716,199716,1
173642,173642,2
274195,274195,3
385425,385425,1
360177,360177,1
400803,400803,1
367018,367018,1
176030,176030,5
216642,216642,1
277965,277965,1
248913,248913,1
380176,380176,1
289549,289549,3
202019,202019,1
251072,251072,1
365524,365524,1
273543,273543,1
310281,310281,7
366985,366985,1
298081,298081,1
225048,225048,1
246512,246512,4
430709,430709,2
267958,267958,1
326342,326342,1
212018,212018,1
131431,131431,1
330398,330398,2
240363,240363,4
226654,226654,1
229699,229699,1
224284,224284,1
164508,164508,1
254196,254196,1
248033,248033,1
148373,148373,1
30071,30071,1
267217,267217,1
173700,173700,1
252670,252670,1
276412,276412,1
367876,367876,1
157647,157647,1
258072,258072,1
436766,436766,1
380825,380825,2
254290,254290,1
240431,240431,1
131388,131388,1
192139,192139,1
239659,239659,1
317161,317161,3
243397,243397,1
233482,233482,1
396141,396141,1
228742,228742,1
174486,174486,1
331874,331874,1
241240,241240,2
211253,211253,1
